,Data,Time
0,3.9780299568155613,2018-05-20 16:40:07.330247
1,4.219901794686675,2018-05-20 16:40:07.430513
2,4.3421342390277395,2018-05-20 16:40:07.530853
3,4.1516304852855965,2018-05-20 16:40:07.631392
4,5.046349734507326,2018-05-20 16:40:07.743081
5,5.0288922611543585,2018-05-20 16:40:07.843469
6,4.79281104374774,2018-05-20 16:40:07.944058
7,4.610665869181305,2018-05-20 16:40:08.044422
8,4.641265533477407,2018-05-20 16:40:08.144944
9,4.367319504076978,2018-05-20 16:40:08.248461
10,4.742975901701646,2018-05-20 16:40:08.352716
11,4.7008570535145395,2018-05-20 16:40:08.453333
12,4.897211460159412,2018-05-20 16:40:08.553732
13,4.752144910636351,2018-05-20 16:40:08.654689
14,4.652258610966761,2018-05-20 16:40:08.757865
15,4.9549865460677385,2018-05-20 16:40:08.858721
16,4.909202364262805,2018-05-20 16:40:08.959706
17,4.4528739150508985,2018-05-20 16:40:09.059769
18,4.710146626914459,2018-05-20 16:40:09.160264
19,4.8650993973859205,2018-05-20 16:40:09.261972
20,5.221266709065957,2018-05-20 16:40:09.362378
21,4.680157196544737,2018-05-20 16:40:09.462815
22,4.833433251275286,2018-05-20 16:40:09.563313
23,4.922911080250466,2018-05-20 16:40:09.663758
24,4.087584810288662,2018-05-20 16:40:09.767626
25,4.420932903883859,2018-05-20 16:40:09.868043
26,4.607487912242395,2018-05-20 16:40:09.968484
27,3.7188873356704946,2018-05-20 16:40:10.068823
28,3.8031943013335536,2018-05-20 16:40:10.180735
29,3.78502633636666,2018-05-20 16:40:10.283222
30,3.6984941372014237,2018-05-20 16:40:10.383084
31,4.058769511647549,2018-05-20 16:40:10.483499
32,3.737449098412249,2018-05-20 16:40:10.583864
33,3.6532595513654478,2018-05-20 16:40:10.684227
34,3.692363101225147,2018-05-20 16:40:10.785136
35,3.5494918454847437,2018-05-20 16:40:10.885863
36,3.5561459627939396,2018-05-20 16:40:10.986388
37,2.9742440151461307,2018-05-20 16:40:11.086710
38,3.1236812793244604,2018-05-20 16:40:11.187081
39,3.214410423946368,2018-05-20 16:40:11.289762
40,2.3314742735600573,2018-05-20 16:40:11.389970
41,3.4953589076160636,2018-05-20 16:40:11.491105
42,2.7343293291746282,2018-05-20 16:40:11.591495
43,3.2604926391651716,2018-05-20 16:40:11.691951
44,3.3053404418727403,2018-05-20 16:40:11.793080
45,2.8723753722670464,2018-05-20 16:40:11.893976
46,3.398346699927157,2018-05-20 16:40:11.994039
47,3.0166838545908186,2018-05-20 16:40:12.094485
48,3.2063687094413904,2018-05-20 16:40:12.195668
49,2.730561718577283,2018-05-20 16:40:12.300430
50,2.9865579855871194,2018-05-20 16:40:12.402654
51,3.074840236836812,2018-05-20 16:40:12.503335
52,3.519373509271534,2018-05-20 16:40:12.603577
53,3.5987238701893896,2018-05-20 16:40:12.704007
54,3.7016586150069313,2018-05-20 16:40:12.806757
55,3.4159893358870734,2018-05-20 16:40:12.907183
56,3.689219724032498,2018-05-20 16:40:13.007471
57,3.265218172064696,2018-05-20 16:40:13.107805
58,3.9157518519383436,2018-05-20 16:40:13.208090
59,3.4462002351228147,2018-05-20 16:40:13.309248
60,3.65027938961752,2018-05-20 16:40:13.411135
61,4.046293332798629,2018-05-20 16:40:13.511335
62,4.448618297930126,2018-05-20 16:40:13.611565
63,3.937873501695271,2018-05-20 16:40:13.711816
64,4.435781281690266,2018-05-20 16:40:13.812665
65,4.915461001762033,2018-05-20 16:40:13.913012
66,4.8386257566109965,2018-05-20 16:40:14.013381
67,4.619850590252137,2018-05-20 16:40:14.113751
68,4.466068170535931,2018-05-20 16:40:14.214134
69,4.78103678409188,2018-05-20 16:40:14.318444
70,5.004237245140377,2018-05-20 16:40:14.418869
71,5.238942001718155,2018-05-20 16:40:14.519112
72,5.465510599450807,2018-05-20 16:40:14.619523
73,5.09087230401802,2018-05-20 16:40:14.719891
74,5.343002484247213,2018-05-20 16:40:14.821667
75,5.369203264431632,2018-05-20 16:40:14.922313
76,4.610399540593374,2018-05-20 16:40:15.022866
77,4.58210044933831,2018-05-20 16:40:15.124226
78,4.996013904539744,2018-05-20 16:40:15.231656
79,5.426408668151844,2018-05-20 16:40:15.332972
80,5.008765952448024,2018-05-20 16:40:15.435065
81,4.568376838398681,2018-05-20 16:40:15.536271
82,4.870068700501001,2018-05-20 16:40:15.636884
83,3.8410097631742235,2018-05-20 16:40:15.740420
84,4.818108445623962,2018-05-20 16:40:15.845013
85,4.27673790568231,2018-05-20 16:40:15.946826
86,4.43489953733553,2018-05-20 16:40:16.048243
87,4.251569979250487,2018-05-20 16:40:16.150743
88,4.122041456716502,2018-05-20 16:40:16.251040
89,3.571458275680022,2018-05-20 16:40:16.351935
90,3.7963337228384546,2018-05-20 16:40:16.460457
