,Data,Time
0,5.39,2018-05-21 12:45:46.305761
1,5.38,2018-05-21 12:45:46.404747
2,5.38,2018-05-21 12:45:46.605506
3,5.39,2018-05-21 12:45:46.731370
4,5.38,2018-05-21 12:45:46.915474
5,5.38,2018-05-21 12:45:47.015705
6,5.38,2018-05-21 12:45:47.238760
7,5.38,2018-05-21 12:45:47.334055
8,5.38,2018-05-21 12:45:47.434441
9,5.38,2018-05-21 12:45:47.635205
10,5.38,2018-05-21 12:45:47.739360
11,5.38,2018-05-21 12:45:47.937582
12,5.38,2018-05-21 12:45:48.037801
13,5.38,2018-05-21 12:45:48.240994
14,5.38,2018-05-21 12:45:48.340378
15,5.38,2018-05-21 12:45:48.541154
16,5.38,2018-05-21 12:45:48.743339
17,5.38,2018-05-21 12:45:48.842468
18,5.38,2018-05-21 12:45:49.042979
19,5.38,2018-05-21 12:45:49.143234
20,5.38,2018-05-21 12:45:49.344718
21,5.37,2018-05-21 12:45:49.445167
22,5.38,2018-05-21 12:45:49.645809
23,5.37,2018-05-21 12:45:49.748561
24,5.37,2018-05-21 12:45:49.947780
25,5.38,2018-05-21 12:45:50.048002
26,5.38,2018-05-21 12:45:50.249680
27,5.37,2018-05-21 12:45:50.348917
28,5.37,2018-05-21 12:45:50.549442
29,5.38,2018-05-21 12:45:50.649952
30,5.38,2018-05-21 12:45:50.852393
31,5.37,2018-05-21 12:45:50.952596
32,5.37,2018-05-21 12:45:51.153138
33,5.37,2018-05-21 12:45:51.258499
34,5.37,2018-05-21 12:45:51.456167
35,5.37,2018-05-21 12:45:51.556507
36,5.37,2018-05-21 12:45:51.757205
37,5.37,2018-05-21 12:45:51.857475
38,5.37,2018-05-21 12:45:52.057880
39,5.38,2018-05-21 12:45:52.158339
40,5.38,2018-05-21 12:45:52.360855
41,5.37,2018-05-21 12:45:52.461448
42,5.37,2018-05-21 12:45:52.662354
43,5.37,2018-05-21 12:45:52.762738
44,5.38,2018-05-21 12:45:52.963329
45,5.37,2018-05-21 12:45:53.063568
46,5.37,2018-05-21 12:45:53.265439
47,5.37,2018-05-21 12:45:53.365723
48,5.37,2018-05-21 12:45:53.566430
49,5.37,2018-05-21 12:45:53.667099
50,5.37,2018-05-21 12:45:53.868091
51,5.37,2018-05-21 12:45:53.968310
52,5.37,2018-05-21 12:45:54.168784
53,5.37,2018-05-21 12:45:54.271066
54,5.37,2018-05-21 12:45:54.471052
55,5.37,2018-05-21 12:45:54.571539
56,5.37,2018-05-21 12:45:54.773745
57,5.37,2018-05-21 12:45:54.873317
58,5.37,2018-05-21 12:45:55.073788
59,5.37,2018-05-21 12:45:55.174011
60,5.37,2018-05-21 12:45:55.376162
61,5.37,2018-05-21 12:45:55.476402
62,5.37,2018-05-21 12:45:55.677027
63,5.37,2018-05-21 12:45:55.780885
64,5.37,2018-05-21 12:45:55.979507
65,5.37,2018-05-21 12:45:56.079751
66,5.37,2018-05-21 12:45:56.284995
67,5.37,2018-05-21 12:45:56.381031
